$CLIMA$hot_days$annual$future$ssp245,$CLIMA$hot_days$annual$present,ComCod,NOM_COMUNA,_source_sha256
0.1836,0.0298,4104.0,LA HIGUERA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
2.8363,1.0617,4105.0,PAIGUANO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
4.9277,1.8089,4106.0,VICUÑA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
5.59,1.0653,4201.0,ILLAPEL,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.2248,0.0304,4202.0,CANELA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.2966,0.0313,4203.0,LOS VILOS,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
9.5907,2.9996,4204.0,SALAMANCA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
7.9804,1.5438,4301.0,OVALLE,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
21.405,8.0681,4302.0,COMBARBALÁ,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
14.1049,4.1383,4303.0,MONTE PATRIA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
5.276,1.0252,4304.0,PUNITAQUI,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
4.7994,0.8064,4305.0,RÍO HURTADO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.0955,0.0152,5101.0,VALPARAÍSO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
2.6873,0.6096,5102.0,CASABLANCA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
1.3056,0.2222,5103.0,CONCÓN,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.0,0.0,5104.0,JUAN FERNÁNDEZ,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.8597,0.1431,5105.0,PUCHUNCAVÍ,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.5611,0.1111,5107.0,QUINTERO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.66,0.1033,5109.0,VIÑA DEL MAR,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.0,0.15,5201.0,ISLA DE PASCUA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
5.0202,1.9592,5301.0,LOS ANDES,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
26.1515,11.503,5302.0,CALLE LARGA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
53.9472,21.2222,5303.0,RINCONADA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
9.1058,4.3135,5304.0,SAN ESTEBAN,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.6404,0.1067,5401.0,LA LIGUA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
6.1303,1.2694,5402.0,CABILDO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.3792,0.0625,5403.0,PAPUDO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
4.029,0.8362,5404.0,PETORCA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.9417,0.1528,5405.0,ZAPALLAR,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
17.9778,4.5278,5501.0,QUILLOTA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
15.4111,3.5778,5502.0,CALERA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
17.4533,4.8983,5503.0,HIJUELAS,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
9.0278,2.1667,5504.0,LA CRUZ,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
3.55,0.7135,5506.0,NOGALES,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
12.3128,4.2949,5601.0,SAN ANTONIO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.05,0.0048,5602.0,ALGARROBO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
3.1,0.7208,5603.0,CARTAGENA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
